"Source:","C:\~prj\Dropbox\CAD\KiCAD\Meetup-IRLED\irled\irled.kicad_sch"
"Date:","3/22/2022 11:12:51 AM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","7"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","D1","EL-IR323","LED:LD271","LED_THT:LED_D5.0mm_IRGrey","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf","","","","","",""
"","","J1","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","",""
"","","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","","","","",""
"","","R1","330","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","",""
"","","R2","56","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","",""
"","","S1","D6C50F2LFS","LibLoader:D6C50F2LFS","D6C50F2LFS","https://componentsearchengine.com/Datasheets/1/D6C50F2LFS.pdf","Switch Key N.O. SPST 0.1A 32VDC 3VA 2.5N PC Pins Thru-Hole Box","9.8","C & K COMPONENTS","D6C50F2LFS","611-D6C50F2LFS","https://www.mouser.com/Search/Refine.aspx?Keyword=611-D6C50F2LFS"
"","","U1","TSOP382xx","Interface_Optical:TSOP382xx","OptoDevice:Vishay_MINICAST-3Pin","http://www.vishay.com/docs/82491/tsop382.pdf","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","D1","EL-IR323","LED:LD271","LED_THT:LED_D5.0mm_IRGrey","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf","","","","","",""
"2","1","J1","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","",""
"3","1","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","","","","",""
"4","1","R1","330","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","",""
"5","1","R2","56","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","",""
"6","1","S1","D6C50F2LFS","LibLoader:D6C50F2LFS","D6C50F2LFS","https://componentsearchengine.com/Datasheets/1/D6C50F2LFS.pdf","Switch Key N.O. SPST 0.1A 32VDC 3VA 2.5N PC Pins Thru-Hole Box","9.8","C & K COMPONENTS","D6C50F2LFS","611-D6C50F2LFS","https://www.mouser.com/Search/Refine.aspx?Keyword=611-D6C50F2LFS"
"7","1","U1","TSOP382xx","Interface_Optical:TSOP382xx","OptoDevice:Vishay_MINICAST-3Pin","http://www.vishay.com/docs/82491/tsop382.pdf","","","","","",""
